timestamp,host,pid,message,src_ip,user,label
Sep 18 03:13:40,kali,2794,Failed password for alice from 10.0.0.4 port 43860 ssh2,10.0.0.4,alice,benign
Sep 18 03:14:11,kali,2045,Connection closed by 10.0.0.2 port 36026 [preauth],,,benign
Sep 18 03:14:13,kali,2013,Accepted password for svc_backup from 10.0.0.3 port 57627 ssh2,10.0.0.3,svc_backup,benign
Sep 18 03:14:25,kali,2774,Failed password for testuser from 10.0.0.52 port 35051 ssh2,10.0.0.52,testuser,attacker
Sep 18 03:14:53,kali,2987,Failed password for testuser from 10.0.0.8 port 51175 ssh2,10.0.0.8,testuser,benign
Sep 18 03:15:09,kali,2185,Connection closed by 10.0.0.51 port 46265 [preauth],,,benign
Sep 18 03:15:17,kali,2513,Connection closed by 10.0.0.9 port 30853 [preauth],,,benign
Sep 18 03:15:17,kali,2544,Failed password for testuser from 10.0.0.52 port 38788 ssh2,10.0.0.52,testuser,attacker
Sep 18 03:15:27,kali,2561,Failed password for dave from 192.168.100.100 port 30700 ssh2,192.168.100.100,dave,benign
Sep 18 03:15:37,kali,2683,Connection closed by 10.0.0.6 port 26788 [preauth],,,benign
Sep 18 03:15:42,kali,2867,Failed password for testuser from 10.0.0.51 port 43982 ssh2,10.0.0.51,testuser,attacker
Sep 18 03:15:46,kali,2012,Accepted password for root from 10.0.0.8 port 26602 ssh2,10.0.0.8,root,benign
Sep 18 03:16:00,kali,2305,Failed password for carol from 10.0.0.51 port 55605 ssh2,10.0.0.51,carol,attacker
Sep 18 03:16:01,kali,2469,Failed password for alice from 10.0.0.3 port 53153 ssh2,10.0.0.3,alice,benign
Sep 18 03:16:31,kali,2566,Connection closed by 10.0.0.4 port 28076 [preauth],,,benign
Sep 18 03:16:51,kali,2721,Connection closed by 10.0.0.50 port 57791 [preauth],,,benign
Sep 18 03:17:19,kali,2754,Failed password for invalid user admin from 10.0.0.52 port 46574 ssh2,10.0.0.52,admin,attacker
Sep 18 03:17:20,kali,2725,Failed password for testuser from 10.0.0.50 port 28275 ssh2,10.0.0.50,testuser,attacker
Sep 18 03:17:32,kali,2366,Accepted password for root from 10.0.0.5 port 41218 ssh2,10.0.0.5,root,benign
Sep 18 03:17:47,kali,2178,Failed password for root from 10.0.0.51 port 51211 ssh2,10.0.0.51,root,attacker
Sep 18 03:18:02,kali,2601,Failed password for alice from 10.0.0.50 port 52836 ssh2,10.0.0.50,alice,attacker
Sep 18 03:18:09,kali,2514,Connection closed by 10.0.0.52 port 48218 [preauth],,,benign
Sep 18 03:18:36,kali,2470,PAM: Authentication failure for root from 10.0.0.52,10.0.0.52,root,attacker
Sep 18 03:18:42,kali,2233,Failed password for invalid user testuser from 10.0.0.5 port 53071 ssh2,10.0.0.5,testuser,benign
Sep 18 03:18:48,kali,2391,Accepted password for dave from 10.0.0.7 port 55685 ssh2,10.0.0.7,dave,benign
Sep 18 03:19:18,kali,2051,Accepted password for bob from 10.0.0.5 port 57000 ssh2,10.0.0.5,bob,benign
Sep 18 03:20:19,kali,2634,Connection closed by 10.0.0.50 port 41496 [preauth],,,benign
Sep 18 03:20:26,kali,2671,Failed password for dave from 10.0.0.51 port 58209 ssh2,10.0.0.51,dave,attacker
Sep 18 03:20:32,kali,2093,Failed password for root from 192.168.100.101 port 37662 ssh2,192.168.100.101,root,benign
Sep 18 03:20:33,kali,2753,Failed password for alice from 192.168.100.100 port 37058 ssh2,192.168.100.100,alice,benign
Sep 18 03:20:39,kali,2369,Failed password for root from 192.168.100.104 port 25650 ssh2,192.168.100.104,root,benign
Sep 18 03:20:39,kali,2623,PAM: Authentication failure for alice from 10.0.0.50,10.0.0.50,alice,attacker
Sep 18 03:20:57,kali,2493,Failed password for admin from 10.0.0.52 port 35068 ssh2,10.0.0.52,admin,attacker
Sep 18 03:20:58,kali,2395,Failed password for bob from 192.168.100.104 port 34752 ssh2,192.168.100.104,bob,benign
Sep 18 03:21:10,kali,2326,PAM: Authentication failure for svc_backup from 10.0.0.52,10.0.0.52,svc_backup,attacker
Sep 18 03:21:13,kali,2083,Failed password for carol from 192.168.100.101 port 57495 ssh2,192.168.100.101,carol,benign
Sep 18 03:21:19,kali,2506,Connection closed by 10.0.0.4 port 51952 [preauth],,,benign
Sep 18 03:21:53,kali,2485,Failed password for testuser from 10.0.0.52 port 29442 ssh2,10.0.0.52,testuser,attacker
Sep 18 03:21:56,kali,2441,PAM: Authentication failure for root from 10.0.0.7,10.0.0.7,root,benign
Sep 18 03:22:01,kali,2206,Failed password for root from 10.0.0.50 port 54460 ssh2,10.0.0.50,root,attacker
Sep 18 03:22:08,kali,2338,Failed password for alice from 10.0.0.4 port 45717 ssh2,10.0.0.4,alice,benign
Sep 18 03:22:18,kali,2367,Connection closed by 10.0.0.3 port 56823 [preauth],,,benign
Sep 18 03:22:36,kali,2301,Failed password for invalid user testuser from 10.0.0.50 port 44606 ssh2,10.0.0.50,testuser,attacker
Sep 18 03:22:56,kali,2628,Failed password for dave from 10.0.0.51 port 51393 ssh2,10.0.0.51,dave,attacker
Sep 18 03:23:24,kali,2856,Failed password for svc_backup from 192.168.100.103 port 22455 ssh2,192.168.100.103,svc_backup,benign
Sep 18 03:23:31,kali,2809,PAM: Authentication failure for alice from 10.0.0.4,10.0.0.4,alice,benign
Sep 18 03:23:35,kali,2129,Failed password for svc_backup from 10.0.0.3 port 26534 ssh2,10.0.0.3,svc_backup,benign
Sep 18 03:24:15,kali,2872,Failed password for dave from 10.0.0.7 port 26225 ssh2,10.0.0.7,dave,benign
Sep 18 03:24:41,kali,2355,Failed password for root from 10.0.0.3 port 20829 ssh2,10.0.0.3,root,benign
Sep 18 03:24:53,kali,2005,Failed password for alice from 192.168.100.100 port 42534 ssh2,192.168.100.100,alice,benign
